startupName,startupActivitySector,startupCreatedAt,startupLogo,startupWebsite,startupLabelDate,startupDescription,startupFounders,startupEmail,startupPhone
Waf Waf House,Consumer products and services,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://www.wafwafhouse.com/,02/2023,Waf Waf House is a platform that connects pet owners with pet sitters everywhere,Cyrine Atallah,hello@wafwafhouse.com,55673363
Apprentus Tunisie,EdTech,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/apprentus.png,https://www.apprentus.com/,05/2019,Apprentus is a marketplace that innovates in connecting tutors and their future students.,"Gaetan Deremince, Marius Andra",n.a.,n.a.
CREATIVE CULINARY,FoodTech & New Food,2015,https://admin.startup.gov.tn/storage/application_sessions/images/logos/tawtaw.png,https://www.tawtaw.co,06/2019,Home cooking app for delivery. Dishes cooked with fresh and seasonal ingredients can be ordered in 3 clicks and delivered in 35 minutes.,"Aziz BenChedli, Mahmoud Derouiche, Ahmed Selmi",n.a.,n.a.
Lysi,EdTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Lysi.png,http://lysi.app,05/2020,Lysi is a mobile application offering an innovative educational approach to gamify education through edutainment digital treasure hunts.,Ali Bouslimi,n.a.,n.a.
VISTASY,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/VISTASY.png,http://vistasy.clinic/,03/2021,VISTASY enables patients of doctors and plastic surgeons to make better decisions via near-real post-operation simulations.,"Ahmed Badaoui, Ahmed Hamouda",n.a.,n.a.
Gifty,Commerce and shopping,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,gifty.tn,09/2023,"Gifty.tn is a marketplace specializing in the sale of gifts and offers a selection of varied, customizable and handmade creations.","Il Banney Haythem, Jihed Chemlali",haythemovic.17@live.fr,+21625383764
TUNISIE MATÉRIEL ROULANT,Business Software and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/TMR.png,https://www.tmr.tn/,05/2019,"TMR PORTAL is a service and operations portal, a digital marketing solution that helps companies to better reference themselves.","Amel Besbes, Kais Laaribi",n.a.,n.a.
CONTYFIND,Business Software and services,2023,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Logo ContyFind (1).png,www.contyfind.com,04/2023,"CONTYFIND is a cutting-edge startup specialized in the digitalization of logistics and transportation processes. We offer web and mobile applications that revolutionize the way companies manage their logistical processes. Our innovative solution includes a digital checklist that ensures the apparent status of each unit across the global supply chain.

Our application allows companies to access checklists in real time, providing immediate updates on the status of each unit. This functionality allows companies to identify and address any issues and take corrective action promptly.

We believe that time is money. That's why our solution is designed to be efficient and user-friendly, allowing companies to centralize their documents and streamline their workflow. By digitizing the performance of inspection reports and other documents, we help companies save time, reduce costs and eliminate the need for cumbersome paperwork.

Our team of experts focuses on understanding the unique needs of each company we work with and providing a solution that meets their specific requirements. With CONTYFIND, companies can take control of their logistics operations and achieve their goals faster and more efficiently than ever.","Aymen Sarraj, Maan mrabet, Hassen Tahri",contact@contyfind.com,+216 24 143 362
Kinko,Commerce and shopping,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Kinko.png,https://kinkobooking.com/,02/2022,Kinko is a marketplace that offers a reservation management solution for tourist institutions to help maximize their gains by dynamically managing stock and selling prices.,"Bilel Barouni, Noureddine Ben Tahar, Mohamed bilel Kedidi, Atef Turki",bilel.barouni@kinkobooking.com,+21629850065
Hayat Tech,HealthTech,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Hayat Tech.png,http://www.hayat-tech.com,02/2022,The Hayat Tech company specializes in the development of connected medical devices.,"Mohamed Amine Bensalem, Mohamed Kharrat, Ahmed Yassine Bensalem",n.a.,n.a.
Amiral,Commerce and shopping,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Incendo.png,http://www.amiral.io,08/2020,Incendo is a company specialized in the development of solutions and platforms for the automation and digitalization of business processes.,Amin Ben Abdallah,n.a.,n.a.
Rouet,Ad Tech and Creative Tech,2021,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,http://www.rouet.tn,12/2021,Rouet.tn une plateforme e-commerce qui offre à ses clients la possibilité de commander des vêtements sur-mesure et du prêt-à-porter.,"Rafik Aouem, Haykel Ben Othman",n.a.,n.a.
Junior Robotics Lab,EdTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Junior_robotics_lab.png,http://junioroboticslab.co,02/2020,Junior Robotics Lab offers a solution to private schools and training centers to teach robotics through our online platform,"Sami Turki, Atef Ben Bekri",n.a.,n.a.
Khobzti,Commerce and shopping,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Khobzti.png,https://makhbazti.com,11/2020,Makhbazti Digitale offers an application to reduce food waste and offers the possibility to book and pay for you need without contact and allows people with allergy to find their needs.,Marwen Khemis,n.a.,n.a.
IMPACT NUTRITION,FoodTech & New Food,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/IMPACT-NUTRITION.png,https://www.impactnutrition.com.tn,03/2021,"Impact Sport Nutrition specializes in the design, manufacture and marketing of sports nutrition supplements for active people.","Marouan Ariane, Houda Saied",n.a.,n.a.
ALMOURAFEK,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Almourafek.png,null,08/2020,Smart Aid Technologies develops intelligent solutions for decision support for companies and individuals. SA-Tech specifically offers a range of navigation assistance devices that allow people with special needs to interact with their environment and overcome their disabilities.,"Imène Khanfir Kallel, Sonda Ammar Bouhamed",n.a.,n.a.
Menutium,Business Software and services,2017,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://menutium.com,02/2021,Menutium is a set of subscription services available online that allows small and medium-sized merchants to put their products on sale in a few minutes in a simple way without any prerequisites,"Salem Mosbah, Amine MLIKA",n.a.,n.a.
SWIVER,Business Software and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/swiver.png,https://www.swiver.io,06/2019,Swiver is an ERP in SAS mode designed for small and medium-sized businesses to digitalize their financial management processes.,"Azzam Souelmia, ACHRAF NOOMAN",n.a.,n.a.
Linkedfishers/Hookedup,Communication services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Linkedfishers.png,http://linkedfishers.com/,02/2021,Linkedfishers is a social platform to connect recreational fishermen and a one-stop-shop for the marketing of items related to this activity.,"Makrem Zannouni, Kais Jrad, Ayed Guembri, Abdessattar Tajouri, Nawfel Ben Moussa",n.a.,n.a.
Prefabulous,Environment,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/prefabulous.png,https://www.prefa-bulous.com/,02/2020,Prefabulous is a modular prefabricated building system 100% wood standardized.,"Malik Nouira, Donia Ben Nasr",n.a.,n.a.
Drone Bee Solution,Advanced Manufacturing & Robotics,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/4-Ste-Drone-Bee-Solutuion.png,null,08/2021,"Drone Bee Solution offers intelligent drones that enable palm tree pollination, pesticide spraying and pest monitoring.","Mayssa Karchoud, Nadhmi Amara, Aladin Khantouch, Haytham Khemakhem",n.a.,n.a.
ARCHIVART,Ad Tech and Creative Tech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/ARCHIVART.png,http://archivart.co/,12/2020,Archivart is a virtual gallery that offers visibility to contemporary artists and connects them to the art market circuits.,"Wafa Gabsi, Mohamed Khalil Liouane",n.a.,n.a.
Compaktor,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/10-Ste-Maps-IT.png,http://www.maps-it.com/,08/2021,"Compaktor (COMmercial-PACK) is a complete e-Solution for commercial management dedicated to SMEs. A pack of SAAS modules (Inventory Management, Purchasing and Sales Management, Cash Management, Users and Access Rights Management, Statistics, e-shop, etc.)","Mohamed Amine Omrani, Ali Mansour",n.a.,n.a.
SAQARA INTERNATIONAL,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/AOS-INTERNATIONAL.png,https://www.saqara.com,03/2021,"SAQARA is a SaaS platform that addresses all the actors of the construction industry, the solution allows to digitize and automate the management of tenders.",Rudolph Cerqueira,n.a.,n.a.
Jhimi Pour Les Elévateurs Légers,Agritech,2014,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,01/2020,"Design and production of equipment for harvesting, fertilization and maintenance of date palms.","HoucineJhimi, Ali Jhimi",n.a.,n.a.
Vife,HealthTech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Vife.png,null,03/2021,"Vife is developing a solution for visually impaired people to help them become more autonomous: a sensor box coupled with headphones and integrating a camera, a GPS and various sensors","Rania Fakhfakh, Emna Souid, Marwa Hannachi",n.a.,n.a.
Machmoom,Commerce and shopping,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/16-MIH-STORE.png,https://machmoom.com/index.php,06/2021,"MIH STORE is a platform for selling and promoting 100% Tunisian food, cosmetics, crafts and decoration products.","Ibtihel Haddedi, skander Haddedi",n.a.,n.a.
S S S INNOVATION,Commerce and shopping,2021,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,http://forsaty.tn/,12/2021,Forsaty est une application de comparateur de prix et permet aussi de consulter les promos les plus proches de sa localisation.,Mohamed Slimeni,n.a.,n.a.
Wheelz,Consumer products and services,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,http://profit.gtt-launchpad.com/,02/2023,"Wheelz is a Tunisian startup specialized in the creation of Smart devices.
Currently Wheelz is concentrating its resources on creating a Smart E-bike with extensive functionality and exceptional design.","Salim Benaoun, Mohamed Wassim Abidi, Hela Msaddek",hello@wheelz.gtt-launchpad.com,55 450 206
Smart Detection,Environment,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Smart Detection.png,null,02/2022,Smart Detection is a remote and real time tracking  intelligent leak detection system in water pipes.,Manel Elleuchi,n.a.,n.a.
Lave'rit,Consumer products and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/14-STE-LAVERIT-H-O.png,https://www.laverit.com/,08/2021,"Lave'rit is the new generation of eco-friendly laundry and cleaning services offering home delivery via a mobile application and a smart locker application installed within residences, with the least effort and cost.","Hedi Hrigua, Oussama Hlaoui",n.a.,n.a.
ASQII,HealthTech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/10-ASQII.png,http://www.asqii.tn/,09/2021,"ASQII, Robotic arm for the preparation of drugs in sterile atmosphere (chemotherapy and parenteral nutrition bags).",Adel Hamdi,adel.h.hamdi@gmail.com,+21625304756
BE-SIYESSAH,Ad Tech and Creative Tech,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,besiyessah.tn,12/2023,"Be-Siyessah is a Start-up aims to create an alternative digital media empowered by AI, able to catch young Arab speakers’ attention by producing an engaging, informative and impactful digital content.","Saif Eddine Naffati, Fedia Ayari",n.a.,n.a.
SOAR,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/SOAR.png,http://www.soar.tn/,12/2020,"SOAR allows to uberize paramedical services and to order them at home, to be treated by professionals and to pay online.","Aymen Talbi, Nour Boumaiza",n.a.,n.a.
Kamioun,Mobility,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/kamioun.png,http://www.kamioun.com,01/2020,Kriga Technologies is a platform of connection between carriers and shippers for road freight in Tunisia.,"Fares Belghith, Abdelrahmen Ghariani",n.a.,n.a.
Insurise,Business Software and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Insurise.png,null,05/2020,Insurise: Data-enabled digital platform for insurance companies to realize digital journeys such as selfcare for a better customer relationship and operational efficiency.,"Hamdi Boujneh, Hedi Harzallah",n.a.,n.a.
SMARTY,EdTech,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://www.smarty.tn,08/2022,SMARTY is an edutainment application with augmented reality technology for kids under 12 years old (K12). We integrate learning goals with the main games and activities offered.,"Marwa Souki, Mayssa Souki",contact@smarty.tn,n.a.
Les Ateliers de Yallaa,Ad Tech and Creative Tech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/19-Les-Ateliers-de-Yallaa.png,http://www.yallaa.tn,11/2021,A platform for connecting arts and crafts professionals with people who want to benefit from their know-how through training workshops,Rania WERDA,n.a.,n.a.
Wefix,Environment,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Wefix.png,http://www.wefix.tn,02/2022,Wefix offers an online appliance repair service and the sale of refurbished household appliances as well as the collection of out-of-service devices.,Sabri Cheriha,wefix@wefix.tn,23296086
Paygrant,Fintech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/paygrant.png,null,02/2020,PayGrant is a platform for targeting compensation through mobile payment.,"khalil Manai, Ilyes Elayeb",n.a.,n.a.
Healthy & Bnin,FoodTech & New Food,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Healthy-And-Bnin-Food.png,http://healthyandbnin.com/,03/2021,"Healthy & Bnin produces natural, healthy and additive-free snacks using local Tunisian products",Soumaya Atoui,n.a.,n.a.
OXAHOST,Business Software and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Oxahost.png,https://www.oxahost.tn,03/2020,Oxahost is a provider of Internet hosting and digital solutions and markets its services in Tunisia and around the world via its web platform.,Tarek Nakbi,n.a.,n.a.
Taxiora,Mobility,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Taxiora.png,https://www.taxiora.tn,05/2021,"TAXIORA is a connected Android taximeter, in the form of a tablet with an integrated application, for cab owners/drivers.","Walid Saadaoui, Khaled Benlatrach, Raouia Magroun",n.a.,n.a.
FranchiseLab,Business Software and services,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.franchiselab.net,11/2022,"FranchiseLab is the “Digital One-Stop Shop” for franchising using AI for the online staffing of
professionals, the sourcing and financing of brand affiliates.","Mohamed Amin Kallel, Aymen Feriani, Wissem Ben Ali, Amine Hariz",contact@franchiselab.net,58400450 / 98301434
OFFENSYLAB,Security,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.offensylab.io,10/2022,"OffensyLab is founded on the belief that cybersecurity can be better, faster and smarter. We are seeing firsthand the impact of cyberattacks on businesses’ finances, reputation, operations, and people.
Our mission is to make every organization  continuously assess their security posture and confident in their cyber readiness.
OffensyLab delivers next-generation cloud technology to the pentest process. Our platform of Pentest-as-a-Service combines our human expertise and insight with the convenience of cloud apps and findings-as-tickets.","Faten meziou, Ahmed Chabchoub, Moataz Jemni, Koussay Bouchaala",faten.meziou@gmail.com,+21658544878
Alfikr,EdTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/JUST-PUBLISH.png,http://www.justpublish.net/,02/2021,JustPublish is a company specialized in digital publishing with the aim of promoting scientific production,Brahim Jrah,n.a.,n.a.
SESAMm,Fintech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/9-SESAMm.png,http://www.sesamm.com,06/2021,SESAMm operates in Fintech and specializes in Big Data and Artificial Intelligence for investment.,"Pierre Rinaldi, Sylvain Forte, Florian Aubry",n.a.,n.a.
DIGITAL FIBER SOLUTIONS,Business Software and services,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/DFS.jpg,http://surveyfibre.com/,04/2022,"Digitize the study and the analysis of the Telecom infrastructure, in particular Optical Fiber, via a web and mobile platform using Artificial Intelligence.","Hichem Boussetta, Jamel Hassine, Zohra Neffati, Monji Haddad",dfs.cfo@gmail.com,23462377
bqube,Business Software and services,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/logo 88x88 px .png,https://www.bqubeits.com,05/2022,"BQube ITs , start-up specializing in Industry4.0. It offers the QMES solution in SAAS mode (Software as a Service) usable within or outside the structure (accessible from anywhere), which allows 24-hour management and control of the progress of activities. In order to allow industrial companies to control all the details of the production process that have a negative impact on the efficiency and quality of their operations QMES 4.0 has been designed to: - Have a better management of the flow of the factory - improve performance, quality and availability losses - Monitor the plant in real time. -Analyze performance and problem identification.","Mohamed Abed Bechiri, Mohamed Saidi, Samia Saaidia",b.contact@bqubeits.com,70146565
SQOIN,Fintech,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Sqoin.png,http://sqoin.us/coin/,02/2020,"SQOIN is specialized in blockchain, having developed solutions to facilitate e-commerce through the exchange of tokens on the blockchain.","Bacem Bergaoui, Mohamed Ali Belajouza",n.a.,n.a.
Pwn & Patch,Security,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/3-Pwn-Patch.png,https://www.pwnandpatch.com/,11/2021,Oktoboot is a security monitoring platform that monitors the dark web and continuously scans the various data leaks it contains.,"rim ben brahim, Oussama Lessis",n.a.,n.a.
bmoov,Mobility,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/14-bmoov.png,http://www.bmoov.co,11/2021,bmoov is a solution for the digitalization of parking services.,Ghassen Chattouna,n.a.,n.a.
DrillSERV,Environment,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/DRILLserv.png,http://www.drillserv-tunisia.com.tn,12/2019,DrillSERV is a startup specialized in water drilling services that operates in the exploration and exploitation of groundwater. It also works on the valorization of data collected from the field on the water tables in the sustainable management of groundwater by developing a mobile application.,"Ahmed Aouiti, Hamza Essayeh",n.a.,n.a.
istishara,Business Software and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Smart Detection.png,https://istishara.com.tn,12/2021,"Istishara is a  mobile application for direct voice consultation in the legal, tax, and business fields at any time.",Atef Azizi,n.a.,n.a.
FeedIn Green,Agritech,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.feedin.com,01/2023,"Feed In Green builds smart, scalable and automated vertical farming solutions for a sustainable future.",Amal Khémira,n.a.,n.a.
FelCloud,Business Software and services,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/FelCloud.png,https://felcloud.tn,03/2021,"FelCloud is a Cloud Computing platform that allows companies to dynamically allocate computing resources (VM, Storage, Loadbalancer, Router....) with billing per second.",Mohamed Amine IBRAHIM,n.a.,n.a.
SHYK,Commerce and shopping,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Shyk.png,https://shyk.fr,02/2022,SHYK is a marketplace that facilitates the booking of wellness stays while helping professionals in the sector to develop their activities.,Mohamed Nathan FENINA,n.a.,n.a.
Bookingtodo,TravelTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/bookingtodo.png,http://www.bookingtodo.net,01/2020,Bookingtodo is a flight and hotel price comparator. The concept is to go further than the classic search on Kayak and booking. The concept is to go further than the classic search on Kayak and booking and find the best prices from providers all over the world in China and Russia.,Aziz Annabi,n.a.,n.a.
Tchou-Tchou Your school bus tracking App,Mobility,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/BUS-APP.png,null,12/2020,BUS APP offers cloud solutions for the management of transport fleets.,"Narjes Ben Slimane, Mohamed Ali Belajouza, Bacem Bergaoui",n.a.,n.a.
Konnect,Fintech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Konnect.png,https://konnect.network,03/2021,A marketplace of services with integrated payment on demand or in white label.,Amin Ben Abderrahman,contact@konnect.network,+21624563609
Symmetryk,Business Software and services,2012,https://admin.startup.gov.tn/storage/application_sessions/images/logos/nostatik.png,http://www.nostatikmedia.com/,04/2019,"Symmetryk: A platform for document exchange between headquarters, subsidiaries and field teams.","Khaled Frad, Ramzi Mrad",n.a.,n.a.
autoecoleplus.tn,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Autoecoleplus.png,https://autoecoleplus.tn,03/2021,"Autoecoleplus.tn is a management system for driving school owners, and a candidate space for online driving lessons.","Mohamed Amine Jendoubi, Ahmed Nemlaghi, Mohamed Badii Jendoubi",n.a.,n.a.
Athena-IO,Ad Tech and Creative Tech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/ATHENA.png,https://on-board.co,12/2019,"Onboard (product of the startup ATHENA iO) works to transform product manuals from their textual state to an intelligent and immersive 3D format, offering manufacturers instant and efficient technical customer support.","Safwen Bouali, Cherif Redissi, Amine Troudi",n.a.,n.a.
SeaBot,Advanced Manufacturing & Robotics,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/SeaBot.png,http://www.seabotek.com,02/2021,Seabot is developing new technologies in the field of underwater robots to perform multiple underwater missions,"Kelboussi Rami, Marwen Bousmina",n.a.,n.a.
AbrarCom Analytics,Business Software and services,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Abrarcom.png,null,02/2020,AbrarCom Analytics is a Business Intelligence based reporting tool designed to deliver accurate activity reports in a predetermined format.,"Houssem Nouri, Slim Ben Salah, Amira Ben Faiza, Haythem Farhati",n.a.,n.a.
Carpet Plus,Commerce and shopping,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/CarpetPlus.png,http://www.carpet.plus,06/2020,Carpet Plus is a collaborative platform for the design and sale of custom handmade carpets.,"Mourad Elfelah, Moncef Ben Rejeb, Amani Abidi",n.a.,n.a.
Orthlane,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Orhtlane.png,https://www.orthlane.com/,03/2021,Orthlane is an online platform specialized in the invisible orthodontics sector.,Ali Karray,n.a.,n.a.
Abneam,Commerce and shopping,2021,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://abneam.com/,07/2022,Abneam is a Tunisian Startup which creates web and mobile applications for a large audience. Behind our applications there is a huge amount of data processed every day on our servers. Our first product is Barbechli.tn which is a search engine for Tunisian e-commerce websites.,"Haythem Hamdi, Amine Hamdi, Seifeddine Hamdi, Abdelbasset Ben Hnia",n.a.,n.a.
Takwira,Wellness,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/13-Rebound-Dev.png,https://bit.ly/38vVraq,09/2021,"Takwira is a mobile application that allows to find a team to play with. Reservation of soccer fields, registration to academies, organization of tournaments for universities, associations, clubs...","Zied Dahmani, Amen Allah Dahmani",n.a.,n.a.
DeVolution studio,EdTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/devolution.png,http://www.devolution-studio.com,08/2019,"A language learning application for children using interactive cartoons, exercises and games, with content adapted for dyslexic children.","Hidayet Ayadi, Seifeddine Ben Achour, Oualid Khayatti",n.a.,n.a.
NIWEES,Commerce and shopping,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/niwees.png,http://www.niwees.com,08/2019,Niwees is a mobile application specialized in digital marketing.,Abdallah NAJAH,n.a.,n.a.
ECG Lab,HealthTech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/ECG-LAB.png,https://ecglab.net/,05/2021,"ECG lab is a platform for visualizing, storing, sharing and analyzing electrocardiogram (ECG) recordings between doctors (cardiologist or others) powered by artificial intelligence dedicated to public and/or private hospitals.","Hatem Rabeh, Adel Fardi, Ayoub Belfekih",n.a.,n.a.
PROSERVY,Business Software and services,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/PROSERVY.png,http://proservy.com/,12/2020,Proservy is a solution that allows companies to digitalize and automate the office management business through a dedicated digital platform.,"Ahmed Dridi, Wassim Jouini, Mohamed Elyes Ksontini",n.a.,n.a.
KALYS,Commerce and shopping,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Kalys.png,http://www.kalys-designstore.com,02/2020,KALYS is an online sales platform for decorative handmade objects with Mediterranean influences.,"Sonia Hachicha, Hugues Blin",n.a.,n.a.
WASSALNI EXPRESS,Mobility,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/22-WASSALNI-EXPRESS.png,https://wassali-express.tn/,11/2021,A mobile application that connects rental drivers and private travelers. It is a platform for booking a place in the rental business.,"Hajer Romdhani, Hafedh Ben abdelhafidh",n.a.,n.a.
UTIK,Fintech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/UTIK.png,http://www.utik.co,02/2020,"UTIK provides customized services to build digital trust through risk identification and prediction, cryptography and infrastructure for decentralized applications.","Makrem Dhifalli, Aymen Gatri, Mounir Bezzarga",n.a.,n.a.
GrowApp,Ad Tech and Creative Tech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/11-Grow-App.png,http://growapp.digital,09/2020,The Growapp social media tool allows marketing teams to extract data and collaborate seamlessly in the creation and approval of social media content.,Wael Aouididi,n.a.,n.a.
E-Tafakna,Business Software and services,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Logo ETafakna.png,www.e-tafakna.com,07/2022,"E-Tafakna is a mobile App (iOS/android) and a Platform that offer legally binding contracts and documents that you can create, manage, negotiate, electronically sign and send.",Norchen Mezni,n.a.,n.a.
Revampr,Business Software and services,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://revampr.com/,06/2022,Revampr is a start-up on Artificial Intelligence-based solutions for Arabic font transcription. We use Cutting-edge technology for developing specialized Computer Vision and Optical Character Recognition products.,"Firas Ben Abid, Marwen Sallem, Adnen Saadaoui, Adnen Somai",contact@revampr.com,+21620373270
LA FIBRE ARTISANALE,Commerce and shopping,2015,https://admin.startup.gov.tn/storage/application_sessions/images/logos/doc_6005741995393.png,https://www.lalistetunisienne.tn/,03/2021,"Lista International aims to launch and develop brands of decorative objects from Tunisian crafts, and revisited by Tunisian designers","Khaled Ben Brahim, Samia Cherif",n.a.,n.a.
NG Technologies,Business Software and services,2016,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://www.ng-sign.com/,11/2020,"Ng technologies is a provider of digital trust services (electronic signature, strong authentication, PKI ...).","Moez Ben Mbarka, Mohamed Ali Tarhoun, Khadija Ferjani",n.a.,n.a.
Smart Med SA,HealthTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/medtn.png,http://www.med.tn,06/2019,"Med.tn is a platform for making appointments, medical directory and teleconsultation.","Issam Bellaj, Aymen Turki, Emna Jellouli",n.a.,n.a.
Deliv's,FoodTech & New Food,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/FIVE-DELIVERY.png,https://delivs.tn/,10/2021,"Deliv's is a meal delivery platform, through our website or a mobile application",Sinda Bououn,n.a.,n.a.
Rednaks – Fenix,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Rednaks.png,http:// www.thefenix.io,05/2021,Rednaks via its TAWA WEB application aims to digitalize services and business processes of companies.,Skander Chouka,n.a.,n.a.
AUZY,HealthTech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Logo-Ausy-color-pr (2).png,http://auzy.help/,06/2022,"Auzy is a medico-psycho-social support platform that ensures organizing personalized care for children with neurodevelopmental disorders, including informing, detecting, diagnosing, treating and supporting.","Abid Khouloud, Ahmed Sahab, سلمى بن براهيم, Amine Belkacem",n.a.,n.a.
Smart For Green: Farm and Forest Fire Protection,Agritech,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://www.smartforgreen.com/,06/2023,"The Farm and Forest Fire Protection system is a multidimensional approach-based solution for fire protection in farms and forests. It involves predicting risks, timely detection, and assisting intervention teams.

Our system integrates IoT, web development, mobile development, and machine learning technologies to provide an efficient assistance tool, enabling our partners (foresters, farmers, and firefighters) to effectively act before, at the onset, and during fires.","Sahli Nader, Sabri Sahli, Karim Fathallah, Rania Fathallah, Mohamed-Hedi MELLEKH, Oussema Charbib, Wael Fathallah, Mohamed Ali Fathallah",s4g-team@googlegroups.com,n.a.
ORcompost,Agritech,2023,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Design sans titre (2).png,https://orcompost.odoo.com/,12/2023,"Organic waste collection platform to expedite the valorization process, transforming waste into high-quality compost within a short timeframe, aiming to restore soil fertility.","Ahmed Boufahja, Emna Boufahja",ahmed.boufahja.cisco@gmail.com,+216 55149754
