AXES,BRANCH,OBS,REC,NOTE
ORGA,Process - Team Velocity and production capacity (Delivery) and evolution,"Each feature can potentially have a big impact on a set of apps. This complexity can seriously hurt scalability; The technical recruitment plan is for trainees only, so there
is a risk of lack of technical mastery and high turnover. We do not see any objective at the key to recruitment.","Stop adding major features as much as possible and settle for
very small value-oriented improvements (quick wins) for the
moment Be much more selective with regard to customer needs. Document the production process. Structure the recruitment plan in a business objective context and
limit the trainee quota.",3.0
ORGA,Process - Team Velocity and production capacity (Delivery) and evolution,"The technical recruitment strategy is designed for trainees, which could lead to a lack of technical expertise and frequent turnover.","Avoid introducing major features and prioritize small value-based enhancements for immediate gains. Be more selective about customer requirements, document the production process, establish a business objective framework, and limit the trainee quota.",3.0
ORGA,Process - Team Velocity and production capacity (Delivery) and evolution,"While the technical recruitment plan is designed for trainees, it runs risky because each feature has a high level of complexity that can seriously impact the scalability of the app.","Refrain from introducing major features and prioritize small value-based enhancements for immediate gains. Be more selective in meeting customer requirements, document the production process, establish a business objective framework, and limit the trainee quota.",3.0
ORGA,Process - Team Velocity and production capacity (Delivery) and evolution,"The complexity of the features within a set of apps can make them highly impactful, but the recruitment process is designed for trainees only, which could lead to ambiguity and frequent absences.","Limit the implementation of major features and prioritize small, value-driven improvements over immediate success. Be more selective about customer requirements, document the production process, establish a business objective framework, and limit the trainee quota.",3.0
ORGA,Process - Team Velocity and production capacity (Delivery) and evolution,"Each feature has a significant impact on the functionality of multiple apps, but its complexity can negatively impact scalability. The technical recruitment strategy is restricted to trainees, which could lead to unused time and lack of technical expertise.","Reduce the number of significant features and opt for small value-based enhancements in quick succession. Be more selective about customer preferences, document the production process, frame the hiring process according to business objectives (e.g: project timeline), and limit the trainee quota.",3.0
ORGA,Process - Team Velocity and production capacity (Delivery) and evolution,"Despite the fact that the technical recruitment plan is for trainees, there is little visibility into potential changes in the features of these apps, which could negatively impact their flexibility and effectiveness.","Minimize the number of significant features and opt for small value-oriented enhancements in quick succession. Be more selective about customer preferences, establish a recruitment strategy with an objective business context, and cap the trainee intake at 5% or less.",3.0
ORGA,PM - Agile and process scalability,Generally acceptable. Lacks the use of the Burn Down Chart,"Attend training (certifying if possible) in Scrum to apply it more rigorously
using the right tools. Use the Burn Down Chart",3.0
ORGA,PM - Agile and process scalability,The burn down chart is not present in generally acceptable.,Attend a training that certifies the use of scrum with appropriate tools and utilize the burn down chart.,3.0
ORGA,PM - Agile and process scalability,Generally acceptable does not make use of the burn down chart.,"Obtain certification in scrum and use appropriate tools during the training, as well as review the burn down chart.",3.0
ORGA,PM - Agile and process scalability,There is a lack of the burn down chart in generally acceptable.,"Convey scrum certification through training and use the appropriate tools to apply it with greater accuracy, as indicated by the burn down chart.",3.0
ORGA,PM - Agile and process scalability,The burn down chart is absent from generally acceptable.,Participate in training sessions that validate scrum implementation with appropriate tools and utilize the burn down chart.,3.0
ORGA,PM - Agile and process scalability,A burn down chart has been omitted from generally acceptable without any controversy.,"Take part in a training that certifies scrum usage with proper tools, including the burn down chart.",3.0
ORGA,PM – Human Centricity,User-centric culture needs improvement,"Provide training in Lean Product Management, Lean UX and HumanCentered Design (Design Thinking). Give as much weight to the detailed understanding of the personas of
the end users (employees) and their daily lives as the decision-makers
and other main contacts at the customers.",2.0
ORGA,PM – Human Centricity,A better user centric culture is necessary.,"Lean product management, lean ux, and humancentered design thinking training should emphasize the importance of understanding the daily lives of end users' employees in conjunction with decision makers and other key contacts.",2.0
ORGA,PM – Human Centricity,Improvements are needed to create a culture that is user-centric.,"Training in lean product management, leans and humancentered design thinking should emphasize the importance of understanding the daily life of end users' employees as much as decision makers and other key contacts.",2.0
ORGA,PM – Human Centricity,Enhancing the user centric culture is necessary.,"The teaching of lean product management, leans ux, and humancentered design thinking requires an in-depth understanding of the daily life of end users' employees, as well as decision makers and other key contacts.",2.0
ORGA,PM – Human Centricity,The improvement of the user centric culture is necessary.,"Enable individuals to receive training in lean product management, leans, and humancentered design thinking by gaining a thorough understanding of the daily life of end users' employees, as well as decision makers and other key contacts.",2.0
ORGA,PM – Human Centricity,An improved culture of user centeredness is essential to achieve.,"Lean product management, leans and humancentered design thinking training should emphasize the importance of understanding the daily lives of end users' employees in conjunction with decision makers and other key contacts.",2.0
ORGA,PM - Data & Facts Centricity,A global dashboard is available. More Data Marketing is required.,"Generalize the use of data as the first source of decision-making after qualitative feedback and learning from end users. Surround yourself with real marketing experts because the
marketing knowledge of the team remains largely to be improved (Be
careful not to confuse Marketing and Sales).",2.0
ORGA,PM - Data & Facts Centricity,The availability of a global dashboard implies that more data is required for marketing to be effective.,"Emphasize data as the primary source of decision-making after receiving qualitative feedback and learning from end users, ensuring that real marketing experts surround them as there is still room for improvement in marketing knowledge.",2.0
ORGA,PM - Data & Facts Centricity,"With the global dashboard, more marketing data is necessary.","Use data as the primary source of decision-making after receiving qualitative feedback and learning from end users. Assume real marketing experts surround the team because their marketing expertise is still highly variable, and avoid confusing marketing with sales.",2.0
ORGA,PM - Data & Facts Centricity,"Having access to a global dashboard, marketing requires more data.","Consider using data as the primary decision support after receiving qualitative feedback and learning from end users. Assume real marketing experts in the team because their marketing expertise is still lacking, but it's important not to mix up marketing and sales techniques.",2.0
ORGA,PM - Data & Facts Centricity,More marketing data is necessary due to the availability of a global dashboard.,"To avoid confusion between marketing and sales, it is important to use data as the primary decision source after evaluating qualitative feedback and learning from end users. Therefore, ensure that you surround yourself with real marketing experts as their marketing expertise remains highly relevant and can improve overall team productivity.",2.0
ORGA,PM - Data & Facts Centricity,"A global dashboard is present, but marketing requires additional information.","Don't confuse data with marketing and sales when utilizing qualitative feedback. Instead, surround yourself with real marketing experts as the team's marketing expertise is still highly valued by many.",2.0
ORGA,PM - Value Centricity,A practice largely to be improved from the principles of Lean Startup and Lean. Product Management,"Attend Lean Startup trainings. Be more selective about features by properly assessing value in a much stricter and more
structured way based on the breadth of the real deep problems they solve strong
improvement at all levels to eliminate any cause of inefficiency.",2.0
ORGA,PM - Value Centricity,This practice is largely dependent on the implementation of lean startup and product management principles.,Lean startup trainings can help businesses eliminate inefficiency by assessing features more rigorously and effectively.,2.0
ORGA,PM - Value Centricity,"Lean startup and product management principles are largely dependent on improvement, but the practice needs to be refined.","The lean startup trainings are designed to help you be more selective about features by assessing their value in a stricter and more structured manner, while also solving significant problems that can cause inefficiency at all levels.",2.0
ORGA,PM - Value Centricity,"The principles of lean startup and leans product management are largely dependent on other factors, but should be refined.","By attending lean startup trainings, you can improve your selection of features by assessing the value of each feature in a more rigorous and structured manner that addresses the real-world problems they solve at all levels to eliminate inefficiency.",2.0
ORGA,PM - Value Centricity,A technique that is likely to be improved will mostly follow the same principles as those used for lean startup and leans in product management.,"To eliminate inefficiency, lean startup trainings should be conducted in a stricter and more structured manner, emphasizing the breadth of the real-world problems they address.",2.0
ORGA,PM - Value Centricity,There is a tendency to diverge from the principles of lean startup and leans product management.,"Lean startup trainings enable participants to make more accurate and precise evaluations of features by examining the breadth of the genuine issues they tackle at all levels, thereby eliminating inefficiency.",2.0
ORGA,Corporate culture,"The corporate culture seems to be based on remuneration. Gap observed at the level of
employee commitment and turnover as well
as at the level of Brand identity.","Build the values of the company as a pillar of its culture. Plan communication-type actions on values and reinforcement of the company's
culture.",1.0
ORGA,Corporate culture,"The corporate culture is shaped by the observed differences in employee commitment, turnover, and brand identity.",Build upon the company's values to establish them as a foundation of its culture through communication-based initiatives.,1.0
ORGA,Corporate culture,"A remuneration gap that is evident in both employee commitment and turnover, as well as brand identity, appears to be the foundation of the corporate culture.",Construct a culture plan that emphasizes the company's values and implements communication-based actions to reinforce its values.,1.0
ORGA,Corporate culture,"Based on the observable difference in employee commitment, turnover, and brand identity levels, the corporate culture appears to be heavily influenced by these factors.",Establish a culture plan that incorporates values and reinforces the company's identity as pillars.,1.0
ORGA,Corporate culture,"Corporate culture is heavily influenced by employee commitment, turnover, and brand identity differences.",Create a framework for the company's values and communicate them to strengthen it.,1.0
ORGA,Corporate culture,The corporate culture is informed by a disparity in employee engagement and turnover as well as adherence to brand identity.,Develop the company's values as a foundation for its culture through implementing communication-based actions to reinforce and strengthen the organization'.,1.0
ORGA,Tools,Good use of tools,Better harmonize tools and choose interconnected tools rather than separate tools.,3.0
ORGA,Tools,Effective utilization of resources.,Optimise the integration of tools and avoid using them separately.,3.0
ORGA,Tools,Efficient utilization of resources.,Better synchronize tools and choose interoperable ones over individual tools.,3.0
ORGA,Tools,Proper utilization of resources.,Efficiently integrate tools and opt for interconnected tools over individual tools.,3.0
ORGA,Tools,Optimistic use of resources and equipment.,Enhance the interoperability of tools and opt for a combination of integrated tools instead of isolated tools.,3.0
ORGA,Tools,A proficient use of tools is desirable.,Improve the coordination of tools and opt for interconnected tools instead of isolated ones.,3.0
ORGA,Specs,"Functional specifications, often with Balsamiq (90% of cases according to you)",Further generalize and improve the use of specs in an optimized way where necessary.,2.0
ORGA,Specs,According to the Balsamiq 90 of cases is often accompanied by functional specifications.,Optimise the utilization of specs in an optimal manner where it is essential to do so.,2.0
ORGA,Specs,"It is common to find that Balsamiq has 90 cases, and these functional specifications are frequently encountered.",Develop the utilization of specs in a more efficient and appropriate manner where it is essential.,2.0
ORGA,Specs,"Balsamiq has 90 cases, which are often the functional specifications.",Enhance the utilization of specs in an optimal manner when it is essential.,2.0
ORGA,Specs,"As per your preference, Balsamiq has 90 cases in its repertoire and these functional specifications are frequently encountered.",Expand and refine the application of specs in a more effective way when required.,2.0
ORGA,Specs,"The use of Babylonian has a tendency to produce 90 cases, as stated by the manufacturer.",Improve the use of specs by generalizing and improving where necessary.,2.0
ORGA,Financing capacity,"No fundraising to date. No project considered for fundraising. There is a lack of opportunity to scale and
accelerate growth.",Study and justify the fundraising and its type.,3.0
ORGA,Financing capacity,"There has been no fundraising so far, and there is no opportunity for rapid growth.",Analyze and rationalize the fundraising and its nature.,3.0
ORGA,Financing capacity,"As of now, there has been no fundraising or any project being considered, resulting in a lack of opportunities for scaling and accelerating growth.",Evaluate and rationalize the funding and its nature.,3.0
ORGA,Financing capacity,"No fundraising has been done, and there is a lack of opportunities to scale and accelerate growth.",Research and rationalize the fundraising and its nature.,3.0
ORGA,Financing capacity,"At present, there is no fundraising done or not planned, resulting in limited opportunities for scaling and accelerating growth.",Examine the fundraising and its rationale.,3.0
ORGA,Financing capacity,The lack of fundraising and the absence of a project being considered is causing sluggishness in scaling and accelerating growth.,Investigate and account for the funding sources and their nature.,3.0
ORGA,Cost centers,Recruitment is the biggest cost center while it is intern-based and co-founders are unpaid.,"Diagnose the remuneration policy and correct it in relation to the market, the company's financing capacities and its skills needs.",3.0
ORGA,Cost centers,"Although it is an internship-based organization and the co founders are not paid, recruitment remains the most significant expense.",Assess the compensation structure and adjust it in line with the market's funding capabilities and skills prerequisites.,3.0
ORGA,Cost centers,"The most significant expense center is recruitment, which is primarily focused on interns and co-founders are not paid.",Evaluate the compensation structure and adjust it in accordance with the market and financial resources of the organization and its required skills.,3.0
ORGA,Cost centers,"While the co-founders are not paid, the recruitment center is the most expensive.","Analyze the remuneration structure and adjust it in line with market conditions, such as the company's ability to finance its operations, or its demand for skilled workers.",3.0
ORGA,Cost centers,"The primary expense is recruitment, given that the organization's intern base and co-founders are not paid.",Identify and adjust the compensation structure according to the market conditions and funding opportunities of the organization.,3.0
ORGA,Cost centers,"Despite being an intern-only location where co-founders do not receive compensation, recruitment remains the most expensive area to invest.","Evaluate the compensation structure and adjust it in line with market conditions, funding sources, and skill prerequisites.",3.0
ORGA,Self-financing,"Commitment of the co-founders. The WCR is insured following a choice of
non-dividend remuneration for 5 years and
the obtaining of a certification which will
allow international sales to be carried out
from the end of the year.","Securing funding for certification (€10k), and validating the ability to obtain certification on time by an expert. Continue local marketing and estimate a share of WCR financing
through this local development.",3.0
ORGA,Self-financing,The wcr is insured by the co founders who have chosen to opt for non-dividend remuneration for 5 years and obtain a certification that will enable international sales from the end of the year.,"Obtaining funding for certification and verifying the ability to obtain certification on time through an expert, local marketing, and approximating a portion of wcr financing through this local development.",3.0
ORGA,Self-financing,"After choosing between not paying dividends for 5 years and obtaining certification to sell internationally starting from the end of the year, the co founders are granted insurance for the wcr.","Funding for certification and proving the timeliness of the process by hiring an expert, local marketing, and approximating a portion of wcr financing through this local development.",3.0
ORGA,Self-financing,The co-founders' commitment to insure the wcr involves choosing between not paying dividends for 5 years and obtaining certification that will enable international sales from the end of the year.,Securing funding for certification and verifying the ability to obtain certification on time with the help of an expert are proceeding with local marketing and approximating a portion of wcr financing through this local development.,3.0
ORGA,Self-financing,"Upon choosing between not paying dividends for 5 years and obtaining certification that will enable international sales, the co founders are granted insurance on their wcr.","Acquiring the necessary funding for certification and verifying the timely completion of the process by an expert, utilizing local marketing techniques to estimate some of WCR financing from this local development.",3.0
ORGA,Self-financing,"Following a 5-year agreement that does not require dividend payment, the co-founders are granted insurance for their WCR and given accretion to sell it overseas from the end of the year.","Finding funding for certification and verifying the ability to obtain certification on schedule through an expert, utilizing local marketing methods (such as appraising the value of debts due to delinquent property taxes) and projecting a portion of wcr financing via this local development.",3.0
ORGA,CEO profile,"The CEO essentially has the role of manager and Administrative and Marketing Manager. The founder assumes the role of CEO even if he is
President.","Review this combination of the Board of Directors, to avoid a lack of credibility with customers and future investors.",2.0
ORGA,CEO profile,"The ceo serves as the manager and marketing manager, while founders are still expected to hold the position even if they assume the role of president.",Examine the board of directors' amalgamation to prevent any indication of trustworthiness to customers and potential investors.,2.0
ORGA,CEO profile,"While the ceo serves as the manager and marketing manager, the founder assumes the role of ceO despite holding the position of president.","To prevent any doubts about the board of directors' credibility with customers and future investors, it is necessary to review their mix.",2.0
ORGA,CEO profile,"Although the ceo is typically responsible for managing and overseeing administrative and marketing functions, the founder can still serve as the individual leader if they are president.",Analyze the board of directors' combination to avoid losing credibility with customers and potential investors.,2.0
ORGA,CEO profile,"The role of ceo is more like that of a manager or administrative and marketing manager, while the founder assumes his role as ceography even if he holds the position of president.",Check the board of directors' amalgamation to avoid any suspicion of irrelevance with customers and future investors.,2.0
ORGA,CEO profile,"While the CEO functions as both a manager and marketing manager, the founder assumes his role as ceo even when not in office.",Evaluate the board of directors' combination to prevent a loss in credibility with customers and potential investors.,2.0
ORGA,Roles and team,"Technically structured team by skill and specialty. The manager also carries the role of HR and DAF. Corporate culture initiatives are deployed: Carrot system
for mutual aid. Recruitment needs defined.","Reinforce the agile practices of the startup, in particular with the monitoring of the burn down of sprints",4.0
ORGA,Roles and team,"Dedicated teams with specific skills and specialties are overseen by the manager, who assumes the responsibility of managing HR and corporate culture initiatives. The carrot system is utilized to meet mutual aid recruitment needs.","Strengthen the agile approach for startups, particularly by tracking the reduction in sprint durations.",4.0
ORGA,Roles and team,The manager carries out the role of managing a highly technical team that specializes in specific skills and specializations.,"Stimulate the agile approach of a startup, particularly by tracking the decline in sprints.",4.0
ORGA,Roles and team,"A highly technically structured team is responsible for both HR and corporate culture, with the manager also playing a role in developing specialized initiatives such as the carrot system for mutual aid recruitment.","Support the startup's agile approach by keeping track of when sprints are depleted, particularly in terms of resources.",4.0
ORGA,Roles and team,"A team with a technical structure that is structured according to skill and specialty, the manager also has the responsibility of managing HR and corporate culture initiatives such as the deployment of specialized recruitment strategies.","Boost the startup's agile approach, particularly by tracking the reduction of sprint utilization.",4.0
ORGA,Roles and team,"The manager is responsible for overseeing a highly organized team that tracks skills and specialty, while also fulfilling the role of managing HR and corporate culture initiatives through implementing specialized recruitment strategies such as the carrot system.","Enhance the agility practices of a startup, particularly by tracking the reduction in sprint durations.",4.0
ORGA,Production capacity and evolution,"Search for hard-to-find senior profiles. The startup was able to deliver several projects in a short
period of time. She has a ready solution that can quickly adapt to the current
challenge.","Reinforce the agile practices of the startup, in particular with the monitoring of the burn down of sprints",4.0
ORGA,Production capacity and evolution,"Through the use of hard-to-reach senior profiles, the startup was able to deliver multiple projects in a short amount of time. She now has adapted her solution to the current challenge by quickly adapting and solving the problem.","Strengthen the agile approach for startups, particularly by tracking the reduction in sprint durations.",4.0
ORGA,Production capacity and evolution,"Despite the challenges, the startup was successful in finding senior candidates and quickly delivered projects. She has a solution that can adapt to the current challenge without difficulty.","Stimulate the agile approach of a startup, particularly by tracking the decline in sprints.",4.0
ORGA,Production capacity and evolution,"The startup managed to deliver several projects in a short amount of time by eliminating the need for scarce senior positions and with adapted resources, she has an answer to the challenge.","Support the startup's agile approach by keeping track of when sprints are depleted, particularly in terms of resources.",4.0
ORGA,Production capacity and evolution,"With a search for scarce senior profiles, the startup was able to deliver multiple projects in just one month. She has mastered this area and can quickly adapt to the current challenge.","Boost the startup's agile approach, particularly by tracking the reduction of sprint utilization.",4.0
ORGA,Production capacity and evolution,"By conducting a thorough search for hard-to-reach senior candidates, the startup was able to deliver multiple projects in merely 3-5 days. She now has 'assisted with translation' and can quickly adapt to the current challenge by providing solutions that are tailored to individual needs.","Enhance the agility practices of a startup, particularly by tracking the reduction in sprint durations.",4.0
ORGA,Strategy and scalability,"The startup provides 3D printing and VR/AR solution
development services","Focusing on a scalable and salable product internationally for this
requires an increase in the skills of the team in Lean Startup, Lean
Product Management. It may be interesting to stay on a ""Service"" strategy but you have to be
aware that the scalability is much less and cannot be done with a
reduced workforce as the startup wishes. It may remain limited in terms
of business.",2.0
ORGA,Strategy and scalability,The startup offers 3d printing and VR Ar solution development services.,"Lean startup product management requires a team with strong skills to create scalable and salable products that can be sold globally. While this may be advantageous, the company must also consider the potential risks of outsourcing operations to reduce costs.",2.0
ORGA,Strategy and scalability,3d printing and VR ar solution development services are offered by the startup.,"A scalable and salable product requires an increase in team skills at the lean startup level. While it may be tempting to stick with a service-based approach, this does not guarantee business continuity as the startup expects its staff to remain limited by their business model.",2.0
ORGA,Strategy and scalability,A startup is responsible for offering 3d printing and VRAR solution development services.,"The focus on a globally adaptable and scalable product necessitates an increase in the team's skills in lean startup leans product management, even though it may be more advantageous to stick with specialized services.",2.0
ORGA,Strategy and scalability,Services for 3d printing and VR AR solutions are provided by the startup.,"To ensure a product that is both scalable and salable worldwide, it is essential to have specialized skills in the team. Lean startup product management may involve sticking to'service' strategies, but this approach requires significant investment from the startup's workforce as it risks competing with other products due to business needs.",2.0
ORGA,Strategy and scalability,The company provides services such as 3d printing and vr ar solution development.,"When striving to create a product that is globally scalable and salable, it is crucial to increase the skills of your team in lean startup leans product management. While staying with LTPM, scaling can be challenging as the business model may require limiting staff size due to concerns about customer demand for products at scale.",2.0
ORGA,PM-Human Centricity PM-Data & Facts Centricity PM-Value Centricity,"The startup listens well to customers in ""Service"" mode, but this is not enough in ""Product"" mode. For the ""Product"" mode, the investment of resources for understanding the real uses of users must be greater.","Follow a Lean UX and Design Thinking training dedicated to the product team which must increase their skills in terms of Empathy and User Research, User Paths, mastery of tools (Smart Look / Hotjar, Mixpanel / Google Analytics, Google Optimize, etc.. ). Follow training in Lean Startup, Scrum and Lean Product Management for the team in addition to support for the implementation and updating of inherent processes",2.0
ORGA,PM-Human Centricity PM-Data & Facts Centricity PM-Value Centricity,"The startup is able to listen attentively to customers in service mode, but it must allocate more resources to understand the real-world uses of users in product mode.","Lean ux and design thinking training is focused on improving empathy, user research, and user paths within the product team through effective use of tools like smart search, data analysis, crowdsourcing, Google analytics, etc. They also provide training on lean startup scrum and leans product management for the team as well as support in updating internal processes.",2.0
ORGA,PM-Human Centricity PM-Data & Facts Centricity PM-Value Centricity,"While the startup is good at listening to customers in service mode, it falls short in addressing product mode with more investment in user-facing knowledge.","To improve their skills in empathy, user research, and user paths within the product team, a lean ux and design thinking training is essential. This includes mastering tools such as smart search, data analysis, crowdsourcing, social engineering, etc. Training also includes instruction on how to use agile methodologies for managing teams and updating internal processes.",2.0
ORGA,PM-Human Centricity PM-Data & Facts Centricity PM-Value Centricity,"In service mode, the startup is able to listen attentively to customers, but in product mode it fails to do so. In product modes, more resources must be invested to understand user real-uses.","The product team must receive training in lean ux and design thinking, which includes improving their empathy and user research skills. They also need to master tools like smart search, data analysis, and analytics using Google Analytics. These trainings also cover leaner startup scrum and leans, as well as internal processes such as packaging, prototyping, documentation, testing, integration, maintenance, etc.",2.0
ORGA,PM-Human Centricity PM-Data & Facts Centricity PM-Value Centricity,"Although the startup listens attentively to its customers in service mode, it falls short of fulfilling this role in product mode by investing more resources to understand user needs.","A lean ux and design thinking training program is designed to improve the skills of the product team in empathy, user research, and user paths. The team must also master tools like smart search, data analysis, crowdsourcing, Google analytics, etc. They should also receive training in leaner startup scrum and leans product management as essential components of their work process integration and update.",2.0
ORGA,PM-Human Centricity PM-Data & Facts Centricity PM-Value Centricity,"Despite the startup's effective listening to customers in service mode, it is not sufficient in product modes due now more expensive resources must be invested to better understand user real-uses.","Training in lean ux and design thinking is essential for the product team, with emphasis on developing empathy, user research, and user paths skills through use of tools like smart search, data analysis using a mixpanel, Google analytics, or optimization. The training emphasizes practical yet effective methods such as leans startup scrum and leAN product management alongside ongoing process improvement and maintenance support to improve internal processes.",2.0
ORGA,Degree of innovation,The startup has a good command of 3D technologies and innovates in the creation of use cases by sector.,"It is recommended to deepen the focus on the problems to be solved for the customers and for the users (clearly distinguish the two). More applied use of the principles of Lean Startup and in particular with
regard to the role of data and measures for ""Validated Learnings"".",4.0
ORGA,Degree of innovation,The startup is well-versed in 3d technologies and excels in creating sector-specific use cases.,"It is suggested to emphasize the problems that customers and users need to tackle in order to differentiate between two more areas where the principles of lean startup are most effective, with a focus on the role of data and measures for validated learnings.",4.0
ORGA,Degree of innovation,"With a strong grasp of 3D technologies and an aptitude for creating sector-specific use cases, the startup is well-versed in this area.","Emphasis should be placed on identifying the challenges to be solved by both customers and users, distinguishing between two applications that utilize lean startup principles, particularly in terms of data and measures for validated learnings.",4.0
ORGA,Degree of innovation,"A well-versed in 3d technologies, the startup also creates innovative case studies that cater to specific industries.","To address the problems faced by customers and users, it is recommended to prioritize the use of lean startup principles and their application in terms of data and measures.",4.0
ORGA,Degree of innovation,This is a startup that has mastered 3d technologies and innovates by creating sector-specific use cases.,"The suggestion is to enhance our focus on the problems that customers and users need to tackle, while identifying the two more practical uses of the principles of lean startup, with a focus not on using only data and measures for validated learnings.",4.0
ORGA,Degree of innovation,The startup has a strong grasp of 3d technologies and is adept at developing innovative case scenarios that suit different sectors.,"It is recommended that the customers and users of lean startup principles understand two more important areas for improvement, which should be highlighted by concentrating on the problems they are trying to solve.",4.0
ORGA,Financing capacity,No fundraising at the moment. Customer turnover as primary source.,In view of International expansion consider fundraising for acceleration and scalability.,5.0
ORGA,Financing capacity,"At present, there is no fundraising going on as customers are the main source of income.",Consider raising funds for acceleration and scalability in light of international expansion.,5.0
ORGA,Financing capacity,There is currently no fundraising happening as customers are the main source of revenue.,"In light of the global expansion, explore fundraising for acceleration and scalability.",5.0
ORGA,Financing capacity,"Customer turnover is the primary source of funding, but there is no fundraising at present.","With regard to global expansion, explore fundraising for speedy and flexible expansion.",5.0
ORGA,Financing capacity,"The primary source of funding is currently lack of customer turnover, and there is no fundraising at present.",Seeking funding for rapid and scalable growth in the international arena.,5.0
ORGA,Financing capacity,"As of now, there are no fundraising efforts in place as customers are the main source of revenue.","To address international growth, consider raising funds to facilitate faster and more efficient development.",5.0
ORGA,Cost centers,They are mainly made up of: HR and raw material costs for 3D printing and Equipment such as AR helmets.,No recommendation at this level,5.0
ORGA,Cost centers,"The primary components of these are HR costs and materials needed for 3d printing, as well as equipment like ar helmets.",There is no suggestion at this level.,5.0
ORGA,Cost centers,"These primarily consist of HR costs and materials expenses for 3d printing, as well as equipment like ar helmets.",I have not received any advice at this juncture.,5.0
ORGA,Cost centers,"The bulk of the items in this section are composed of HR costs and materials needed for 3d printing, as well as equipment like ar helmets.",This level does not warrant any recommendations.,5.0
ORGA,Cost centers,"Specifically, they are made up of HR costs and the raw materials needed for 3d printing, as well as equipment like ar helmets.",No suggestion is given for this kind of level.,5.0
ORGA,Cost centers,"Their main component is comprised of HR costs and materials expenses for 3d printing, along with ar helmets and other related equipment.",There are no recommendations available at this stage.,5.0
ORGA,Team Product Fit,Knowledge of AR and AI. The Co-founders have complementary skills. The CEO is very involved in the technique.,The CEO should focus on his scope of CEO and increase the skills of team members so that they can take over on the technical part.,4.0
ORGA,Team Product Fit,"The co founders possess expertise in both ar and ai, while the ceo is highly knowledgeable in the technique.",The ceo should concentrate on the scope of his role and enhance the expertise of team members to take charge of technical tasks.,4.0
ORGA,Team Product Fit,"Having expertise in both ar and ai, the co founders possess complementary skills, with the ceo being highly involved in the technique.",It is important for the ceo to concentrate on their scope of office and enhance the competencies of team members to take charge of technical tasks.,4.0
ORGA,Team Product Fit,"With their understanding of ar and ai, the co founders have complementary abilities, and the ceo is highly knowledgeable in the technique.","To address the technical challenges, it is crucial for the ceo to concentrate on their scope and enhance the skills of team members.",4.0
ORGA,Team Product Fit,"The co-founders possess expertise in both ar and ai, while the ceo is highly knowledgeable in the technique.","In order to improve technical skills, the ceo needs to concentrate on his scope and enhance the abilities of his team members.",4.0
ORGA,Team Product Fit,"Both the co founders have experience in both ar and ai techniques, while the ceo is highly knowledgeable in the technique.",The ceo needs to concentrate on the scope of his role and enhance the expertise of team members to take charge in technical matters.,4.0
ORGA,management-style,"Adopt more Flexibility in HR management. Remuneration is variable in salaries. The start-up conducts individual interviews (Assessment,
recruitment) in an irregular manner.","Professionalize more the management part of human
resources: Such as fixed and formal annual interviews. Document or train on Management 3.0 and 4.0. Work more on the values of the team and on the axes of
motivation.
to set the performance objectives of the collaborators).",3.0
ORGA,management-style,"The start-up's recruitment process for individual interviews and assessment is irregular, with salary adjustments based on the level of flexibility in HR management.","Enhance the management aspect of human resources, including formal annual interviews or instruction in management topics. Concentrate on identifying team values and motivation axes to establish performance objectives for collaborators.",3.0
ORGA,management-style,"While HR management remuneration is more flexible, the start-up's recruitment process for individual interviews and assessment shifts changes irregularly.","Improve the management aspect of human resources, such as creating structured annual interviews or educating on management topics. Focus on team values and motivation axes to establish performance objectives for collaborators.",3.0
ORGA,management-style,"The salary range for HR management remuneration is not fixed, but the start-up's recruitment process for individual interviews and assessment positions changes irregularly.","Emphasize the management aspect of human resources, such as formal annual interviews or instruction in managerial 3 0 and 4 0. Focus on team values and motivation axes to establish performance objectives for collaborators.",3.0
ORGA,management-style,"Individual interviews for assessment positions are conducted irregularly by the start up, while the remuneration for HR management that has more flexibility is variable.","Advance the management component of human resources, including formal annual interviews or instruction in management topics. Concentrate on team values and motivation axes to establish performance objectives for collaborators.",3.0
ORGA,management-style,"In the start-up, salary is not fixed and the remuneration for HRM management flexibility changes as employees undergo irregular recruitment through individual interviews.","Enhance the management component of human resources, such as formal annual interviews and training on management topics. Focus more upon team values/motivation axes to determine collaboration partners' performance goals while also improving their effectiveness.",3.0
ORGA,Process-Team Velocity and ability of delivery,There are 7 complex products since 2018. The startup has a good capacity to deliver.,"It is recommended to avoid multiplying products for more focus, to strengthen agile processes and to increase its workforce if there is an increased need for maintenance / support. The startup would benefit from reorganizing into 2 different entities: An ESN that develops tailor-made digital tools (in service mode) and d an entity that focuses on a single product (in Editor mode) with two different
leaders. Reinforce the Agile practices of the team and empower the Scrum Master to remove
obstacles and sources of inefficiency and to animate retrospectives for continuous
improvement. Adopt Scrum certification for key team members.",4.0
ORGA,Process-Team Velocity and ability of delivery,The startup has successfully delivered 7 complex products since 2018.,"To strengthen agile processes and increase the number of employees needed for maintenance support, it is suggested to avoid multitasking rather than focusing on multiple products. This approach could result in two distinct entities: an esn developing custom digital tools in service mode and another entity concentrating on a single product in editor mode, where the scrum master and other team members work together to overcome inefficiencies and create continuous improvement through animation of retrospectives.",4.0
ORGA,Process-Team Velocity and ability of delivery,"With 7 complex products available since 2018, the startup has a strong track record of delivering value.",Reducing product focus to strengthen agile processes and increase the number of employees needed.,4.0
